id,folder,filename,originalClassification,status,primaryClass,subclass,compatibleClasses,atmosphereVisible,waterVisible,vegetationVisible,iceVisible,volcanismVisible,lightingCleanable,earthGeography,correctionReason,rejectionReason,materialCreated,systemThumbnailCreated,sha256
P01-11,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 19.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,42653be1f45514cebd85d52f4e3d1d011fa4e60bf40ec35db96ecc5bb07f34e6
P01-12,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 2.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,275a3d1b11799cd3144bde57dc53e7180acc184f086a55b44f2aabb762132b97
P01-13,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 20.png,Acid A — Sulfuric Cloud Planet,rejected,greenhouse,sulfuric-cloud,,True,not established,False,False,False,False,False,,A bright baked rim/lighting strip persists at western rotation.,True,True,86183acd2a5536b81da4e7992fce61d50231dcb93f27a7f643c273db17459426
P01-14,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 21.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,b985fc81d220077590d9160bff409ddaf333e2418f7444101951329ef60f9dc3
P01-15,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 22.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,821b5220992f0745aa1d626541e38997e7040f87a447f3ca3e2066d1468d63da
P01-16,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 23.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,766a758750ffe6c5c52ac35b911e8abf6ddcbf680d8deeb8e3b021f53213ca53
P01-17,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 24.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,ae978c075d874d2983d762c3d86180ded0fcc1fb40fc203a99bde1a660e9a0b0
P01-18,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 3.png,Acid A — Sulfuric Cloud Planet,rejected,greenhouse,sulfuric-cloud,,True,not established,False,False,False,False,False,,Strong hemispheric baked shadow/highlight contrast obscures surface identity.,False,False,03ca6ac33b83ec8ac5d4b60956f9f4d22141d3cca4674888728ef2c1cbd0c2cc
P01-19,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 4.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,784e6d3f23cf6c48c76dec1e173eb453ea569bba8b489436b4d375d5511c5695
P01-20,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 5.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,60fed0fc721985f20d5782e7c75c5e243c857a9c2b55b7e9bd6c41597dffe34f
P01-21,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 6.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,2bd1c8734e22f1b53789ae68cb84ac5be9ffa58faa0f2ef1abf947c5380846b5
P01-22,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 7.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,8d99eb0b7cfc2bfe357f405f1c1b9df0703b0f47b37d9035559a0dfc9f962f8a
P01-23,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 8.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,50e2d81c758f9bca6198030005567ac031751b262e3ada0aa4125a6e4cb03895
P01-24,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 9.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,5e49a25dfe835b287a1040beeb2b80e02767e4f9905deafa804536fc14d26641
P02-01,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 1.png,Acid B — Acid Rain Greenhouse,rejected,greenhouse,acid-rain,,True,not established,not established,False,False,not prepared (source excluded),False,,Overscaled protruding terrain/cloud clumps and inconsistent miniature-model appearance.,False,False,1d4efe2efc9fe72f9db0ae1bc99f9103b96d2473fa59024af1bb10ec62569503
P02-02,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 10.png,Acid B — Acid Rain Greenhouse,rejected,greenhouse,acid-rain,,True,not established,not established,False,False,False,False,,Baked colored limb glare persists after neutralization.,True,True,25788769eb202e685c6be5919f74380d8fac47544a722fff45f10196d95243b8
P02-03,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 11.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,ea9113ec3594ed5f60646ef4e9e16301c4f1952c6acc92eb60bf8693a2b0fc21
P02-04,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 12.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,183df3590036537285172cc1fb93b40b196289268ebe6afd753bea6321e35292
P02-05,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 13.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,5db30c16a3dae53591a427af2e288c296e003cd293721c8f73045495ddec4d10
P02-06,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 14.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,6656ac62750f2878d1cbc59704a3da14ffd337c4c145d20fab24b0b7d4028276
P02-07,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 15.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,0bbf740b0f2c395dbcba8be6112d1eba096da05c2de4d9dca897d7280acdc560
P02-08,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 16.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,4a66e1c58c23f3690b85740dce848fba50a5cecc09c0fb425d6d9df83c20098b
P02-09,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 17.png,Acid B — Acid Rain Greenhouse,rejected,greenhouse,acid-rain,,True,not established,not established,False,False,False,False,,Conversion retains harsh clipped-looking surface patches with poor tonal recovery.,True,True,5fb98578ad5c5c2e829aa3c4010f026429d25aa68d3942ed73cac971ba56bf45
P02-10,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 18.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,9951ccd0925318615dc89ddbf67119a58380ce09a2055da5f3c51a6f5d67b59f
P02-11,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 19.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,c906280462e62ff6de9ccfeb15a7ecca9a078c3ce597cd05641d72cfb1924d75
P02-12,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 2.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,9c870764450f6ee1e9acafc08e05702a7ae88506a931d46e4ad7f3ca29e4e8b8
P02-13,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 20.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,ae62e421ebbe7b1f4cb5a035ae6584afdc67e39cfd208e712a91ab8311681ce1
P02-14,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 21.png,Acid B — Acid Rain Greenhouse,rejected,greenhouse,acid-rain,,True,not established,not established,False,False,False,False,,"Bright surface patches retain overexposed, clipped-looking detail.",True,True,7b98f371aa0c2f77b25b376e87c273e797b68f067018e9813c0f4d48c30147aa
P02-15,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 22.png,Acid B — Acid Rain Greenhouse,rejected,greenhouse,acid-rain,,True,not established,not established,False,False,False,False,,Strong green directional highlight remains attached to the texture.,True,True,15458800ded82fed2b18036943608b8a24558ab707fae1dd1af7a646b3844f59
P02-16,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 23.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,a33a13d0663088d1401375ccc580ae6db115bac095a4a8b496a82d6db6d4e68d
P02-17,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 24.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,2efbc9fd568bb4ed11489b8a2e3cd09022e15bf7dba16a6d26942fbbc2f4e9c3
P02-18,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 3.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,b86c0df95c401d61e8ae399b5bff052c5a2c902e874ac55072cecbad1d31a99c
P02-19,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 4.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,d35accb0f634db134b5fbd4b1b2abbea219768eb54dc279f47a4c7098f61c7c5
P02-20,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 5.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,83a1fc694af1e755cf7944117b60bed43e2d5ded6c4a5c1d005905b9df470844
P02-21,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 6.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,7e6ba1710cd9875248edcbe0cfaf621aae59e0f4204d4bb0375b32ceebad7e76
P02-22,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 7.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,8fca0b5e7d940dc61baff179b2cf755b024eff791c6798fa3c45ad716addb941
P02-23,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 8.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,2c369d2461e46584e69ef8c8e1a1d1ed82cf60c1a291b4d7861bfa7e05516676
P02-24,Acid B — Acid Rain Greenhouse,Acid B — Acid Rain Greenhouse 9.png,Acid B — Acid Rain Greenhouse,accepted,greenhouse,acid-rain,,True,False,False,False,False,True,False,,,True,True,98161084495aed4106d09e196d0c1a464e86eed04eda5735dda9359cde52051c
P03-01,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 1.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,9ebd0ad16d749751e8b8143c770c0d71798fde1e783233b9340ccdcccbbc3767
P03-02,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 10.png,Acid C — White Corrosive Cloud World,accepted,gas-giant,chemical-cloud,,True,False,False,False,False,True,False,Broad flowing atmospheric band system rather than a distinct terrestrial surface.,,True,True,c27dc091d8022661f87462be8a5c21676448b1837e240af0477b8c96dd22fb6a
P03-03,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 11.png,Acid C — White Corrosive Cloud World,accepted,gas-giant,chemical-cloud,,True,False,False,False,False,True,False,Smooth global diagonal atmospheric bands.,,True,True,cdc050464c568b7844319a45f4777a2ed1b0a8ebea5c72a62c29f1a008dc9465
P03-04,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 12.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,91bedcee34b47539a1adb7c4fb722720291c3ea439e2f62ba39b1f2a98eeedf3
P03-05,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 13.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,8403776cfda4a49ff253f4c6aeda3b680edf381fa94f5a4c3d5f618eaaeb0a47
P03-06,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 14.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,dae51ef5cacf961866ad8575d5abb935563457d6a749cb84cda1d22f34b7ff86
P03-07,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 15.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,bb7a08494594b62cb5a7bd66902e5416c5a04a1958da6c9752014370c06d0d0e
P03-08,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 16.png,Acid C — White Corrosive Cloud World,rejected,greenhouse,corrosive-cloud,,True,False,False,False,False,not prepared (source excluded),False,,Smooth glossy hotspots cannot serve as unlit cloud color.,False,False,aa50d582057dc2ca1a51ef29d0cc0919b0b16959010d33246e03d2a32d7b9c7f
P03-09,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 17.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,bc5ec2365a851969fadcd51806312da82953ad1c5d9df6902189124404754829
P03-10,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 18.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,68d51bceaba90b2a5c2fe84230623596059284a75ee95a540dd292f1f8c79b36
P03-11,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 19.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,ab7f85baf7636bcffe96d376b3ec6e7011536e5f1389c8d4762e8f2170c85c1b
P03-12,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 2.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,65c9b646221380994d9299ae191f451998fd38789dad705bf9dcd32632839d33
P03-13,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 20.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,e1e051821bc1f23a4b343d2b0d2cb096fa9f2aa593827566a779ec6fdf7851e6
P03-14,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 21.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,ebcdfa7081f377ffcf0cb16767424102a007d8eda83de299d6fd17f843692a3b
P03-15,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 22.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,8a563c7c3cbee47fd3cb68437d52cb4a571cbfde851d7fe438715402f3c62531
P03-16,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 23.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,9be301e5e5260766da8c551186919ab3f2612930ff24b1d5da03ee768dc92657
P03-17,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 24.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,1fe4b20de8f04478e9699ad9616d5444d0773a2e210c0d44176b8805a64ca69b
P03-18,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 25.png,Acid C — White Corrosive Cloud World,accepted,gas-giant,chemical-cloud,,True,False,False,False,False,True,False,Broad continuous gaseous atmospheric bands.,,True,True,e971f118233fe42f873771b1e8f8b4f1142e72037cc74ae42ad538215361a2d9
P03-19,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 26.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,e4d87881210c951c2a09072ecf3d4e68587489f90fddb2805dc207bdd93c4fff
P03-20,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 27.png,Acid C — White Corrosive Cloud World,accepted,gas-giant,cream-cloud-giant,,True,False,False,False,False,True,False,"Pastel banded giant atmosphere, not specific evidence of corrosive terrestrial clouds.",,True,True,ec13b102dfab577f78fe2084ed4fa5cfced2293beedf76c359e7729414c70aca
P03-21,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 28.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,f517438fc687d23450bf41414b924e78aa94b59868bf95544cd5a1db8dada432
P03-22,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 3.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,d57d2134cad9549c17873830726fd91cae0dd25066090e678b645fa134d70f02
P03-23,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 4.png,Acid C — White Corrosive Cloud World,rejected,greenhouse,corrosive-cloud,,True,False,False,False,False,not prepared (source excluded),False,,Localized specular hotspot baked into atmospheric bands.,False,False,fa957b4e96000e69a541fe3ae9377468b9c1c5b2f0e1e8f98efe56cbcd19cb3c
P03-24,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 5.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,0ddfd0d982c07d1c54e64432d41e6229942ea3e7b230454814343780710e64a6
P03-25,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 6.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,ee2809a36f08e8c08d5f0c450efac90d5ae01f06dafdc3f28a5dfa5aa37484be
P03-26,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 7.png,Acid C — White Corrosive Cloud World,rejected,greenhouse,corrosive-cloud,,True,False,False,False,False,not prepared (source excluded),False,,Stylized marble-like linework does not read as plausible planetary atmosphere.,False,False,936ed1d967cc0d6d7f8eb042d597f6bb47f5d08ea160988bdc90e64f2f8ba3de
P03-27,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 8.png,Acid C — White Corrosive Cloud World,accepted,gas-giant,chemical-cloud,,True,False,False,False,False,True,False,Continuous broad green atmospheric band pattern.,,True,True,f92b32a28cc0eb4214a9e6f4e9c9b30ff7c0750d11d259661ec210b616588621
P03-28,Acid C — White Corrosive Cloud World,Acid C — White Corrosive Cloud World 9.png,Acid C — White Corrosive Cloud World,accepted,greenhouse,corrosive-cloud,,True,False,False,False,False,True,False,,,True,True,72c1424ffefc8a55c69daf66426bb6cc617c95481a378a18265281da2646a04d
P04-01,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 1.png,Barren B — Iron-Rich Rust World,accepted,barren,ancient-grey-crater,super-earth,False,False,False,False,False,True,False,Grey cratered surface lacks dominant rust-red mineral coloration.,,True,True,3290ac1b14c9245efd2b2d9ed768b1c98e733cda6df36e26efb858700416646c
P04-02,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 10.png,Barren B — Iron-Rich Rust World,accepted,barren,iron-rich-rust,super-earth,False,False,False,False,False,True,False,,,True,True,bf12d46cade56ca39543a8c60a33e39ce9b7b5f2e0e4896512a6f4bdc26ab760
P04-03,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 11.png,Barren B — Iron-Rich Rust World,rejected,barren,iron-rich-rust,super-earth,False,False,False,False,False,not prepared (source excluded),False,,Duplicate content of P04-01; no duplicate runtime import. ,False,False,3290ac1b14c9245efd2b2d9ed768b1c98e733cda6df36e26efb858700416646c
P04-04,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 12.png,Barren B — Iron-Rich Rust World,accepted,barren,ancient-grey-crater,super-earth,False,False,False,False,False,True,False,"Neutral grey, densely cratered airless appearance.",,True,True,0d0724f9b5a4efa58ed139ce019bfe1f8393f301fd00b9f3dec4edce1f535b98
P04-05,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 13.png,Barren B — Iron-Rich Rust World,accepted,barren,iron-rich-rust,super-earth,False,False,False,False,False,True,False,,,True,True,150e72fe3ff341f741c71965b3ae970b21501f38a77cd16cb21c383a79605eda
P04-06,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 14.png,Barren B — Iron-Rich Rust World,rejected,barren,iron-rich-rust,super-earth,False,False,False,False,False,not prepared (source excluded),False,,Near-black lower hemisphere with strong baked terminator.,False,False,4fa5866370fea1da91c36678c7008890350115f542a702da6a8e9057a227e83b
P04-07,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 15.png,Barren B — Iron-Rich Rust World,accepted,barren,iron-rich-rust,super-earth,False,False,False,False,False,True,False,,,True,True,66de35b384475eb23f466ab31f44d7cef53be8cd8e1ea592900e0a5c9641462c
P04-08,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 16.png,Barren B — Iron-Rich Rust World,accepted,barren,iron-rich-rust,super-earth,False,False,False,False,False,True,False,,,True,True,45a043efb9a641d8d947de2a7d9d59250c3e23ca8c78dede316cfb6a8249444d
P04-09,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 17.png,Barren B — Iron-Rich Rust World,rejected,barren,iron-rich-rust,super-earth,False,False,False,False,False,False,False,,Studio floor/contact shadow and hard polished-object glare.,False,False,befaeaccf9a70693dc33eb6ac15ee7d91e6cf3631d430e5155a344c8e8c3a4ce
P04-10,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 18.png,Barren B — Iron-Rich Rust World,accepted,barren,iron-rich-rust,super-earth,False,False,False,False,False,True,False,,,True,True,39a3057c0d53bf547b530744985b78105c7bb24e52753624534d290c102cb166
P04-11,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 19.png,Barren B — Iron-Rich Rust World,rejected,barren,iron-rich-rust,super-earth,False,False,False,False,False,not prepared (source excluded),False,,Duplicate content of P04-10; no duplicate runtime import. ,False,False,39a3057c0d53bf547b530744985b78105c7bb24e52753624534d290c102cb166
P04-12,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 2.png,Barren B — Iron-Rich Rust World,rejected,barren,iron-rich-rust,super-earth,False,False,False,False,False,not prepared (source excluded),False,,Duplicate content of P04-04; no duplicate runtime import. ,False,False,0d0724f9b5a4efa58ed139ce019bfe1f8393f301fd00b9f3dec4edce1f535b98
P04-13,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 20.png,Barren B — Iron-Rich Rust World,rejected,barren,iron-rich-rust,super-earth,False,False,False,False,False,not prepared (source excluded),False,,Strong baked dark lower hemisphere/terminator.,False,False,530f10911e01abc9e1e8aa058913361f7567acd9399d5e5afcfa2c7d0357baa5
P04-14,Barren B — Iron-Rich Rust World,Barren B — Iron- Rich Rust World 21.png,Barren B — Iron-Rich Rust World,rejected,barren,iron-rich-rust,super-earth,False,False,False,False,False,False,False,,A directional rim highlight or colored lighting strip remains visible during rotation.,True,True,fb316f7b6e8beafd08691c5ec3239e3b4384304a962099ba7c8bcff7f2d9d31e
